A,AAL,AAP,AAPL,ABT,ACN,ADBE,ADI,ADM,ADP
19.29566956,10.36072826,29.00601196,3.691307783,16.83820534,24.95318985,32.54999924,18.29272461,29.91281509,22.82554436
18.95557404,9.700810432,28.95298576,3.61400795,16.6930542,24.3986702,31.94000053,18.17909813,28.50389671,22.82554436
19.46892548,9.408557892,29.66863441,3.845299244,16.77882957,25.1897831,32.59999847,18.58011055,29.58716393,23.29125023
19.52667999,8.503527641,29.63331032,3.805441618,16.93717575,25.01233101,33.34000015,18.60683823,29.32797623,23.49062729
19.57159615,8.258416176,30.06622696,3.863113403,17.33636093,25.17499352,33.29999924,18.90091515,29.42765808,23.3909359
19.01974869,7.815324306,29.88953781,3.822957039,16.95037651,24.65744591,32.61000061,18.4664917,29.14188766,23.0860157
19.03899002,7.023425102,28.70561218,3.826579332,17.33966064,24.44303322,30.79000092,18.66699409,27.95892906,22.74005127
19.55234909,7.523077965,28.95345116,4.010464191,17.75533295,25.5077095,31.87999916,19.04795456,28.92258453,23.64307976
18.83365059,7.947312832,29.1039257,3.915351868,17.94338226,25.41898346,34.75,18.31945419,28.03868103,23.61961365
19.0325737,8.230132103,30.23692322,4.024053574,18.36235809,25.58903885,34.45000076,18.94770432,26.70288467,24.01249886
19.4753437,8.578947067,31.60891533,4.213071346,18.28647804,26.84593773,36.09999847,19.69625092,27.77285385,24.49333954
19.45609283,8.597801208,31.33451653,4.256854057,17.9895649,26.15833092,36.54000092,19.72299004,28.37762642,24.88035583
19.24433899,8.041584969,31.08667755,4.380048275,17.82461548,26.14354897,37.20000076,19.52248383,28.16496277,24.85689926
18.75023079,7.730479717,30.01563644,4.23481226,17.66626167,26.21008301,35.68000031,19.48906326,27.87253761,24.6223526
18.98124695,8.079295158,29.54651833,4.31814909,17.50791168,26.1139698,35.33000183,19.35539436,28.09850693,24.5050602
19.14166451,8.399827003,30.13955688,4.332945824,18.19410324,26.00307274,35.59000015,19.72966576,27.35417175,24.85689926
19.82185555,9.078601837,31.45845222,4.51501894,18.22049141,26.52061272,37.25,20.46485329,27.85925484,25.44914818
20.04002953,8.644939423,31.69743919,4.453420639,17.91369629,26.43928909,36.5,20.29108238,27.759552,25.68956566
20.19403648,8.720359802,31.72398949,4.577824116,17.9895649,26.79417801,37.00999832,20.52500534,27.40733337,25.4256916
20.34804344,8.890052795,31.81251335,4.622210026,18.09183693,27.18603897,36.97000122,20.49826622,28.2646389,25.73648453
20.25820351,9.069174767,31.48500252,4.707058907,18.10173416,27.48177719,36.91999817,20.47153473,28.67668343,25.40223885
20.21970367,9.304859161,31.47615433,4.614964008,17.81472015,28.08804893,36.83000183,19.98363686,28.7298584,25.2614975
19.93094444,8.333833694,30.42281342,4.57269001,17.7718277,27.32651329,36.31999969,20.06384087,28.98903847,25.12664413
19.85393524,8.635511398,30.60869789,4.666597843,17.78502274,28.14718819,37.09000015,21.09310722,28.55041313,25.1149044
19.33416939,8.305553436,30.38739777,4.442854404,17.53593826,26.99379921,35.97999954,20.27771187,28.59693909,24.6164856
19.41116905,8.239561081,29.88286209,4.462178707,17.42633438,27.03076935,36.29000092,19.95023727,28.54376984,24.66339684
18.70531845,7.683342457,29.59960938,4.480295181,17.24034691,27.02337074,35.75,20.19750977,29.34791374,24.80999184
19.50742722,7.58906889,30.68834305,4.64093256,17.05436325,27.79230499,36.41999817,21.01289558,30.03908539,25.39637184
19.30850601,7.419374466,30.39626312,4.664785862,16.91487885,28.22113037,36.06999969,20.80571556,30.26503563,25.46673203
19.87319565,7.570215225,30.96274185,4.862560272,16.8451252,29.05659866,36.27000046,21.1599369,30.88309669,25.69542503
19.674263,7.38166523,30.82112694,5.077548027,16.78202629,28.40596581,36.65999985,21.80823708,32.01952362,25.60747337
19.34700966,6.44835186,30.13070869,4.837197304,16.77870369,27.96975327,36.16999817,20.94606209,31.42141151,25.41397476
19.91810799,5.89213419,29.71468735,4.918420792,16.79199028,28.34681702,36.83000183,21.46069908,31.4546299,25.53124237
20.17478371,6.655754566,30.4051075,5.101100445,16.75213623,28.64995003,37.43000031,21.62777901,30.65714455,25.80096817
20.23253632,6.75002861,30.7149086,5.124952316,17.03110695,28.7904377,36.88999939,21.52084351,31.44135857,25.84789467
19.674263,8.126431465,31.03356361,5.200742245,17.14071655,28.90873528,37.18000031,21.57431221,31.51445389,25.68369293
19.61009216,8.446961403,31.28141594,5.285589218,17.76178169,28.66473961,37.75999832,21.67457199,30.29161644,25.60160828
19.38550186,8.098147392,30.6972084,5.252374649,17.51932907,27.76273537,37.29000092,21.52752686,29.28145218,25.91825867
19.95661163,8.814629555,31.90101814,5.435053825,17.79166412,28.37639046,39.00999832,22.45653343,28.70326996,26.51050758
20.57905769,8.220705986,31.83021355,5.463436127,17.65882301,28.88654709,40.38000107,22.26939774,29.2016983,25.26737404
20.29029465,7.84360981,31.22829247,5.577876091,17.60235786,28.66473961,40.15000153,22.48326874,29.30139351,25.46673203
20.41862679,7.570215225,30.38739777,5.636149883,17.46287346,28.57602501,40.25,22.92437553,29.72007179,25.51364899
20.37371635,6.919723034,29.90942764,5.513256073,17.03443718,27.61485291,39.24000168,22.79739189,29.0621376,25.28495216
20.52130127,6.636898994,30.02448463,5.587839603,17.03110695,28.05847549,40,22.54341507,29.61374855,25.12664413
20.4699707,6.674610615,29.76779556,5.539225578,17.19716835,27.91060638,39.88999939,22.81744194,28.36433411,25.27323532
20.77155685,6.589763641,29.87401199,5.681442738,17.52929306,28.09544563,40.43999863,22.85754395,28.76308632,25.67198372
20.68172455,6.580336571,29.90942764,5.735792637,18.06732941,27.94758034,40.59000015,23.03130913,28.78974342,25.65438461
20.87423325,6.83487606,30.55559349,5.624072552,18.21014786,28.1397953,40.93999863,23.15830231,28.70974922,25.87134552
22.67738724,7.183690071,30.66178894,5.728847504,18.22342682,28.25810242,42,23.65956497,28.91638947,25.98276329
22.51695824,7.353384018,34.36174774,5.665138245,18.17028999,28.30245781,42.25999832,23.69966316,28.8963871,25.72475624
23.25491333,6.891438484,34.60959244,5.543754578,18.28321075,28.47990227,42.59999847,23.86007309,29.26968002,25.61333847
22.85705566,6.476634026,34.46796799,5.613202572,18.160326,27.99933052,41.65999985,23.22513008,29.30300713,25.49605942
22.90838814,5.043666363,34.16701889,5.380400181,18.05404472,27.50395584,40.95000076,22.28944778,29.12970161,25.12077141
23.11373138,4.92111063,33.75098801,5.345979214,18.21678352,27.585289,41.40000153,22.59688568,28.84972572,24.92725945
23.0559845,3.940660238,33.57396698,5.470379353,18.02083015,27.37826347,41.25,22.59688568,28.77641106,24.51678276
23.37041664,4.185772419,33.88376999,5.629205704,18.13042641,27.81449127,41.99000168,23.12487984,27.96317863,24.88035583
23.71051025,3.846385002,35.32658386,5.646718979,17.96768761,28.38379097,42.84000015,23.07110596,26.57001686,24.92139816
23.82600975,4.072643757,35.93733215,5.637056828,18.58543205,29.59632492,43.79999924,23.13160515,26.33004189,25.2028656
23.99284744,3.733255625,35.67177963,5.69925642,18.71496582,30.18042564,44.06000137,23.60216141,26.463377,25.24391365
23.67841911,3.544707775,35.91077805,5.619241714,18.49244118,30.13605499,43.45999908,23.44083023,26.33004189,25.06799316
